iter	Passed	Remaining
406	6641	4030
407	6662	4017
408	6676	3999
409	6707	3991
410	6721	3974
411	6741	3959
412	6758	3943
413	6778	3929
414	6796	3914
415	6811	3897
416	6831	3882
417	6848	3866
418	6870	3853
419	6885	3836
420	6899	3818
421	6913	3800
422	6928	3783
423	6941	3765
424	6958	3749
425	6972	3731
426	6986	3713
427	7001	3696
428	7014	3679
429	7029	3661
430	7045	3645
431	7060	3628
432	7075	3611
433	7090	3594
434	7110	3579
435	7126	3563
436	7142	3546
437	7158	3530
438	7175	3514
439	7193	3498
440	7207	3481
441	7221	3463
442	7237	3446
443	7251	3429
444	7264	3412
445	7280	3395
446	7296	3379
447	7312	3362
448	7326	3345
449	7340	3327
450	7357	3311
451	7374	3295
452	7388	3278
453	7403	3261
454	7417	3244
455	7431	3226
456	7444	3209
457	7458	3191
458	7472	3174
459	7487	3157
460	7502	3140
461	7519	3124
462	7533	3107
463	7547	3090
464	7562	3073
465	7575	3056
466	7594	3041
467	7620	3028
468	7636	3012
469	7652	2995
470	7666	2978
471	7682	2962
472	7696	2945
473	7710	2927
474	7725	2911
475	7738	2893
476	7754	2877
477	7769	2860
478	7784	2844
479	7799	2827
480	7814	2810
481	7827	2793
482	7843	2776
483	7856	2759
484	7872	2743
485	7887	2726
486	7903	2710
487	7918	2693
488	7934	2677
489	7947	2659
490	7961	2642
491	7975	2625
492	7988	2608
493	8004	2592
494	8020	2576
495	8034	2559
496	8050	2542
497	8064	2526
498	8077	2509
499	8094	2492
500	8108	2476
501	8122	2459
502	8138	2443
503	8153	2426
504	8166	2409
505	8182	2393
506	8198	2377
507	8212	2360
508	8227	2343
509	8241	2327
510	8255	2310
511	8272	2294
512	8286	2277
513	8301	2261
514	8320	2245
515	8333	2228
516	8348	2212
517	8364	2196
518	8377	2179
519	8390	2162
520	8404	2145
521	8418	2128
522	8432	2112
523	8448	2095
524	8464	2079
525	8479	2063
526	8494	2046
527	8509	2030
528	8523	2014
529	8542	1998
530	8556	1981
531	8571	1965
532	8586	1949
533	8603	1933
534	8617	1916
535	8632	1900
536	8644	1883
537	8660	1867
538	8673	1850
539	8688	1834
540	8702	1817
541	8718	1801
542	8732	1785
543	8747	1768
544	8763	1752
545	8780	1736
546	8793	1720
547	8807	1703
548	8824	1687
549	8839	1671
550	8854	1655
551	8876	1640
