iter	RMSE
444	0.3654553316
445	0.3653404101
446	0.3652267651
447	0.3651769349
448	0.3650324862
449	0.3649181164
450	0.3647625363
451	0.3646820563
452	0.3645992383
453	0.3645208635
454	0.3643694828
455	0.3642354671
456	0.3641543177
457	0.3639673638
458	0.3638176295
459	0.3636999578
460	0.3636105497
461	0.3634711573
462	0.3633361351
463	0.3632479857
464	0.3631064941
465	0.3629613885
466	0.362856021
467	0.362645935
468	0.3625242701
469	0.362405571
470	0.3621647443
471	0.3620414767
472	0.3618929232
473	0.361773414
474	0.3616713865
475	0.361471917
476	0.3613526451
477	0.3612424278
478	0.361199671
479	0.3610288463
480	0.3608906637
481	0.3606803143
482	0.360610766
483	0.360364888
484	0.360158534
485	0.3599654316
486	0.3597791872
487	0.3596829311
488	0.3595462792
489	0.3593666617
490	0.359254626
491	0.3591842513
492	0.359079151
493	0.358904772
494	0.3587677217
495	0.3586486809
496	0.3585019185
497	0.3584337895
498	0.3582773085
499	0.3581370919
500	0.3580190334
501	0.3578762481
502	0.3578100847
503	0.3577434121
504	0.3576709994
505	0.3575822532
506	0.3573993344
507	0.3573124088
508	0.3572562392
509	0.3570969376
510	0.3569827811
511	0.3568479799
512	0.3566597288
513	0.3565215601
514	0.3564464181
515	0.3561833613
516	0.3560945562
517	0.3560237858
518	0.3558225257
519	0.355726817
520	0.355599029
521	0.3555080389
522	0.3554213201
523	0.355318183
524	0.3552131507
525	0.3551226799
526	0.3549933325
527	0.3548868883
528	0.3547166756
529	0.3546344001
530	0.3544786737
531	0.3543802416
532	0.3542984746
533	0.3541394534
534	0.3540629665
535	0.3538933415
536	0.3538008963
537	0.3536151156
538	0.3534480928
539	0.3533090165
540	0.3531161962
541	0.3530233377
542	0.3529037538
543	0.3527276868
544	0.3525574782
545	0.3522981304
546	0.3522047961
547	0.3520607877
548	0.351945013
549	0.3518024626
550	0.3517010618
551	0.3515772317
552	0.3515133644
553	0.3513884439
554	0.3511436293
555	0.3510177706
556	0.3509038598
557	0.350718022
558	0.3505455917
559	0.3504677902
560	0.3504140836
561	0.3502659641
562	0.3501379484
563	0.350004264
564	0.3499415296
565	0.3498680847
566	0.3497446867
567	0.3495967877
568	0.3494136129
569	0.3492734218
570	0.3491941456
571	0.349044685
572	0.3489702139
573	0.348846387
574	0.3487277989
575	0.3486097435
576	0.3484967908
577	0.3483965821
578	0.3483248127
579	0.3482169029
580	0.3480728462
581	0.347921671
582	0.3477969314
583	0.3475808344
584	0.347506533
585	0.347291986
586	0.3471707223
587	0.347052413
588	0.3469632846
589	0.3468828182
590	0.3468332096
591	0.3466367362
592	0.3465832899
593	0.3463806587
594	0.346295587
595	0.3461746622
596	0.34595555
597	0.3458075581
598	0.3456380199
599	0.3455551067
600	0.3454570496
601	0.3453321493
602	0.3451534479
603	0.345025434
604	0.3449168374
605	0.3447593078
606	0.3446716222
607	0.3445402032
608	0.3444450498
609	0.3443331162
610	0.3442818514
611	0.344195889
612	0.3440810969
613	0.3439724698
614	0.3438746882
615	0.3437725408
616	0.3436609613
617	0.3435488205
618	0.3433591861
619	0.3432607862
620	0.3431428154
621	0.3431090039
622	0.3429304607
623	0.3428133028
624	0.3426681397
625	0.3424712642
626	0.3423701799
627	0.34227971
628	0.3421743508
629	0.3420160666
630	0.3419112723
631	0.3418385742
632	0.3416472563
633	0.341518441
634	0.341370822
635	0.3411772403
636	0.3410307557
637	0.340955262
638	0.3408663643
639	0.3407396136
640	0.3406794822
641	0.3405946182
642	0.3404874467
643	0.3403762082
644	0.340268377
645	0.3400970981
646	0.3400187025
647	0.3399360855
648	0.3397871433
649	0.3396679338
650	0.3395793523
651	0.3394851653
652	0.3393290115
653	0.3391342556
335894703
0.3350210111
